DY
189
21
attr1;attr2;attr3;attr4;attr5;attr6;attr7;attr8;attr9;attr10;attr11;attr12;attr13;attr14;attr15;attr16;attr17;attr18;attr19;attr20;attr21
IranIslamicRepublicof;76.7;14.8;10.3;12447;0.792;5;0.719;19.7;0.585;0.866;4084;16;40.6;5.9;17.5;82.9;75.4;7.6;57.2;5.3;32;2
SriLanka;77;14.1;10.6;12707;0.815;12;0.657;22.4;0.568;0.955;7433;36;20.9;5.3;35.4;21.3;18.6;1.7;13.9;2.3;34;2
BosniaandHerzegovina;77.4;13.8;9.8;14872;0.835;17;0.59;20.2;0.603;0.937;10567;10;9.6;21.1;35.4;3.3;48.6;0.1;2.2;0.6;43.1;2
Grenada;72.4;16.9;9;15641;0.716;0;0;0;0;0;0;25;29.2;39.3;0;0.1;36.4;0;0.1;0;32;2
Mexico;75.1;14.8;8.8;19160;0.758;18.4;0.574;33.4;0.529;0.96;12765;33;60.4;48.4;44.2;127.6;80.4;11;84.7;9.5;29.2;2
SaintKittsandNevis;74.8;13.8;8.7;25038;0;0;0;0;0;0;0;0;0;13.3;0;0.1;30.8;0;0;0;0;2
Ukraine;72.1;15.1;11.4;13216;0.742;3.6;0.77;8.5;0.675;1;10088;19;23.7;20.5;46.7;44;69.5;2.2;29.6;7.3;41.2;2
AntiguaandBarbuda;77;12.8;9.3;20895;0.826;0;0;0;0;0;0;42;42.8;31.4;0;0.1;24.5;0;0.1;0;34;2
Peru;76.7;15;9.7;12252;0.779;17;0.614;28.6;0.519;0.957;9889;88;56.9;30;70.3;32.5;78.1;2.8;21.6;2.7;31;2
Thailand;77.2;15;7.9;17781;0.81;18.3;0.557;23.8;0.596;1.008;15924;37;44.9;14.1;59.2;69.6;50.7;3.6;49.3;8.6;40.1;2
Armenia;75.1;13.1;11.3;13894;0.774;2.9;0.718;17.4;0.616;0.982;9737;26;21.5;23.5;47.1;3;63.2;0.2;2;0.3;35.4;2
NorthMacedonia;75.8;13.6;9.8;15865;0.791;8.4;0.646;19.2;0.619;0.952;11698;7;15.7;39.2;43;2.1;58.2;0.1;1.4;0.3;39.1;2
Colombia;77.3;14.4;8.5;14257;0.787;18.6;0.555;35.5;0.483;0.989;11594;83;66.7;19.6;57.3;50.3;81.1;3.7;34.5;4.4;31.3;2
Brazil;75.9;15.4;8;14263;0.766;21.2;0.547;41;0.442;0.993;10535;60;59.1;15;54.2;211;86.8;14.6;147.2;19.5;33.5;2
